,id,name,idname,classroom,meetpermalink,courseGDrive,courseDropbox,website,gmailSearchTerm,studentGDrive,email
0,bio310,Biostatistics,BIO 310,https://classroom.google.com/u/1/c/MTUyODgwMTEyOTky,,https://drive.google.com/drive/u/1/folders/0B0oX3X3Sko0nfm1VbGRzMkU3dFdCaS1VdTc3aloweVNma0xDRHpfSUNEYnk0M3RlRWw3OUk,,,(BIO+310)+OR+(BIO310),,bio310@students.iiserpune.ac.in
1,bio320,Genetics,BIO 320,https://classroom.google.com/u/1/c/MTUyNzI2MTc3MTkw,,https://drive.google.com/drive/u/1/folders/0B0oX3X3Sko0nfnRyMTdmaDdSVGV6SWtxR1hmNEEwdzJVT1Mwa1E3Zm95RlF0NmluNkZudzg,,,(BIO+320)+OR+(BIO320),https://drive.google.com/drive/u/1/folders/1gpb1ZjZeZ89JZAFk-lQj8WR0ZfWdXHv9?usp=sharing,bio320@students.iiserpune.ac.in
2,bio313,Advanced Molecular Biology,BIO 313,https://classroom.google.com/u/1/c/MTMxODkyMTU3NTg5,,https://drive.google.com/drive/u/1/folders/0B0oX3X3Sko0nfmR3eHBXRGE1emtHcEtIcTgwX3pLS2Vfb2hlX3ZQcGtyQmZVZXNUSVJpNms,,,(BIO+313)+OR(BIO313),,bio313@students.iiserpune.ac.in
3,bio311,Advanced Cell Biology,BIO 311,https://classroom.google.com/u/1/c/MTUxNjc5OTExNjA1,,https://drive.google.com/drive/u/1/folders/0B0oX3X3Sko0nfmlyT21vb0Jnb01yY2RrWDV0RC1lOHhaeDBHc2VaZndGWWZSTTFYODZIMjg,https://www.dropbox.com/sh/ov3ckf0b4fu9it7/AAD0WDErY_V6jn4_rfL14nFya?dl=0,,(BIO+311)+OR(BIO311),,bio311@students.iiserpune.ac.in
4,bio355,Vertebrate Zoology,BIO 355,https://classroom.google.com/u/1/c/MTMxNTcxMTQ4MTIx,,https://drive.google.com/drive/u/1/folders/0B0oX3X3Sko0nflkzSVl3MkVGcHdGd1F2V19Hbjc1RElmSjNuQ0xpSF9US0w5SWc1OGNVNEE,,,(BIO+355)+OR(BIO355),,bio355@students.iiserpune.ac.in
5,bio314,Bioinformatics,BIO 314,,,,,,,https://drive.google.com/drive/u/1folders/1B2oNsJebby5_17gGicA32WHgr8OLrr53?usp=sharing,
6,bio316,Neurobiology 1,BIO 316,https://classroom.google.com/u/1/c/MTUyNjU4NjM2MjQ2,,https://drive.google.com/drive/u/1/folders/0B0BvPH7b5mp7fmxUbUotVzdfQjhLbF9UYlh4YTZlMC1UNF9wN1Z4ZXdZN3lJbFF6VVd4TnM,,,(BIO+316)+OR+(BIO316),,bio316@students.iiserpune.ac.in
7,bio315,Cellular Biophysics,BIO 315,,,,,,,,bio315@students.iiserpune.ac.in
8,bio321,Plant Biology I,BIO 321,,,,,,,,bio321@students.iiserpune.ac.in
9,bio352,Animal Physiology II,BIO 352,,,,,,,,bio352@students.iiserpune.ac.in
10,bio353,Advanced immunology,BIO 353,,,,,,,,bio353@students.iiserpune.ac.in
11,bio410,Advanced Biochemistry I,BIO 410,,,,,,,,bio410@students.iiserpune.ac.in
12,bio411,Ecology I,BIO 411,https://classroom.google.com/u/1/c/MTMxNTYzMDg1NTA4,,,,,,https://drive.google.com/drive/u/1/folders/1i1PN3UQMj55JA_kHHKhtwU3A3GtzQabl?usp=sharing,bio411@students.iiserpune.ac.in
13,bio431,Epigenetics,BIO 431,https://classroom.google.com/u/1/c/MTMyMDk3OTQxNzYw,,,,,,,bio431@students.iiserpune.ac.in
14,bio454,Structural Biology,BIO 454,https://classroom.google.com/u/1/c/MTUzMjU1MDE5MzM0,,,,,,https://drive.google.com/drive/u/1/folders/1oRos4kly46XLPyXGSM01ECsmffI3ljXV?usp=sharing,bio454@students.iiserpune.ac.in
